wID,versionNum,category,object,trial,TRnum,condition,onset_time,run_num,viewpoint,response,onset
0113171_neurosketch,21,furniture,chair,0,0,-1,0.0,1,2,,0
0113171_neurosketch,21,furniture,chair,0,1,-1,0.0,1,2,,0
0113171_neurosketch,21,furniture,chair,0,2,-1,0.0,1,2,,0
0113171_neurosketch,21,furniture,chair,0,3,-1,0.0,1,2,,0
0113171_neurosketch,21,furniture,chair,0,4,-1,0.0,1,2,,0
0113171_neurosketch,21,furniture,chair,0,5,-1,0.0,1,2,,0
0113171_neurosketch,21,furniture,chair,0,6,-1,0.0,1,2,,0
0113171_neurosketch,21,furniture,chair,0,7,-1,0.0,1,2,,0
0113171_neurosketch,21,furniture,chair,0,8,0,12004.15,1,2,,1
0113171_neurosketch,21,furniture,chair,0,9,0,12004.15,1,2,,0
0113171_neurosketch,21,furniture,chair,0,10,0,12004.15,1,2,,0
0113171_neurosketch,21,furniture,chair,0,11,0,12004.15,1,2,,0
0113171_neurosketch,21,furniture,chair,0,12,0,12004.15,1,2,,0
0113171_neurosketch,21,furniture,chair,0,13,0,12004.15,1,2,,0
0113171_neurosketch,21,furniture,table,1,14,1,21003.35,1,31,,1
0113171_neurosketch,21,furniture,table,1,15,1,21003.35,1,31,,0
0113171_neurosketch,21,furniture,table,1,16,1,21003.35,1,31,,0
0113171_neurosketch,21,furniture,table,1,17,1,21003.35,1,31,,0
0113171_neurosketch,21,furniture,bench,2,18,1,27002.84,1,23,,1
0113171_neurosketch,21,furniture,bench,2,19,1,27002.84,1,23,,0
0113171_neurosketch,21,furniture,bench,2,20,1,27002.84,1,23,,0
0113171_neurosketch,21,furniture,bed,3,21,0,31502.19,1,35,bed,1
0113171_neurosketch,21,furniture,bed,3,22,0,31502.19,1,35,bed,0
0113171_neurosketch,21,furniture,bench,4,23,1,34503.76,1,27,,1
0113171_neurosketch,21,furniture,bench,4,24,1,34503.76,1,27,,0
0113171_neurosketch,21,furniture,table,5,25,1,37501.53,1,20,,1
0113171_neurosketch,21,furniture,table,5,26,1,37501.53,1,20,,0
0113171_neurosketch,21,furniture,table,5,27,1,37501.53,1,20,,0
0113171_neurosketch,21,furniture,table,5,28,1,37501.53,1,20,,0
0113171_neurosketch,21,furniture,chair,6,29,0,43502.05,1,31,,1
0113171_neurosketch,21,furniture,chair,6,30,0,43502.05,1,31,,0
0113171_neurosketch,21,furniture,chair,6,31,0,43502.05,1,31,,0
