wID,versionNum,category,object,trial,TRnum,condition,onset_time,run_num,viewpoint,response,onset
1202161_neurosketch,21,furniture,chair,0,0,-1,0.0,1,0,,0
1202161_neurosketch,21,furniture,chair,0,1,-1,0.0,1,0,,0
1202161_neurosketch,21,furniture,chair,0,2,-1,0.0,1,0,,0
1202161_neurosketch,21,furniture,chair,0,3,-1,0.0,1,0,,0
1202161_neurosketch,21,furniture,chair,0,4,-1,0.0,1,0,,0
1202161_neurosketch,21,furniture,chair,0,5,-1,0.0,1,0,,0
1202161_neurosketch,21,furniture,chair,0,6,-1,0.0,1,0,,0
1202161_neurosketch,21,furniture,chair,0,7,-1,0.0,1,0,,0
1202161_neurosketch,21,furniture,chair,0,8,0,12004.29,1,0,,1
1202161_neurosketch,21,furniture,chair,0,9,0,12004.29,1,0,,0
1202161_neurosketch,21,furniture,chair,0,10,0,12004.29,1,0,,0
1202161_neurosketch,21,furniture,chair,0,11,0,12004.29,1,0,,0
1202161_neurosketch,21,furniture,chair,0,12,0,12004.29,1,0,,0
1202161_neurosketch,21,furniture,chair,0,13,0,12004.29,1,0,,0
1202161_neurosketch,21,furniture,table,1,14,1,21003.21,1,37,,1
1202161_neurosketch,21,furniture,table,1,15,1,21003.21,1,37,,0
1202161_neurosketch,21,furniture,table,1,16,1,21003.21,1,37,,0
1202161_neurosketch,21,furniture,table,1,17,1,21003.21,1,37,,0
1202161_neurosketch,21,furniture,bed,2,18,0,27001.81,1,23,bed,1
1202161_neurosketch,21,furniture,bed,2,19,0,27001.81,1,23,bed,0
1202161_neurosketch,21,furniture,bed,2,20,0,27001.81,1,23,bed,0
1202161_neurosketch,21,furniture,bench,3,21,1,31502.23,1,31,bench,1
1202161_neurosketch,21,furniture,bench,3,22,1,31502.23,1,31,bench,0
1202161_neurosketch,21,furniture,bench,3,23,1,31502.23,1,31,bench,0
1202161_neurosketch,21,furniture,chair,4,24,0,36003.57,1,16,chair,1
1202161_neurosketch,21,furniture,chair,4,25,0,36003.57,1,16,chair,0
1202161_neurosketch,21,furniture,bed,5,26,0,39001.34,1,9,bed,1
1202161_neurosketch,21,furniture,bed,5,27,0,39001.34,1,9,bed,0
1202161_neurosketch,21,furniture,bed,5,28,0,39001.34,1,9,bed,0
1202161_neurosketch,21,furniture,table,6,29,1,43502.52,1,20,table,1
1202161_neurosketch,21,furniture,table,6,30,1,43502.52,1,20,table,0
1202161_neurosketch,21,furniture,bench,7,31,1,46502.28,1,29,bench,1
