wID,versionNum,category,object,trial,TRnum,condition,onset_time,run_num,viewpoint,response,onset
1206163_neurosketch,24,furniture,chair,0,0,-1,0.0,1,24,,0
1206163_neurosketch,24,furniture,chair,0,1,-1,0.0,1,24,,0
1206163_neurosketch,24,furniture,chair,0,2,-1,0.0,1,24,,0
1206163_neurosketch,24,furniture,chair,0,3,-1,0.0,1,24,,0
1206163_neurosketch,24,furniture,chair,0,4,-1,0.0,1,24,,0
1206163_neurosketch,24,furniture,chair,0,5,-1,0.0,1,24,,0
1206163_neurosketch,24,furniture,chair,0,6,-1,0.0,1,24,,0
1206163_neurosketch,24,furniture,chair,0,7,-1,0.0,1,24,,0
1206163_neurosketch,24,furniture,chair,0,8,1,12004.3,1,24,,1
1206163_neurosketch,24,furniture,chair,0,9,1,12004.3,1,24,,0
1206163_neurosketch,24,furniture,chair,0,10,1,12004.3,1,24,,0
1206163_neurosketch,24,furniture,chair,0,11,1,12004.3,1,24,,0
1206163_neurosketch,24,furniture,chair,0,12,1,12004.3,1,24,,0
1206163_neurosketch,24,furniture,chair,0,13,1,12004.3,1,24,,0
1206163_neurosketch,24,furniture,chair,0,14,1,12004.3,1,24,,0
1206163_neurosketch,24,furniture,table,1,15,0,22502.88,1,6,table,1
1206163_neurosketch,24,furniture,table,1,16,0,22502.88,1,6,table,0
1206163_neurosketch,24,furniture,bed,2,17,0,25504.57,1,12,bed,1
1206163_neurosketch,24,furniture,bed,2,18,0,25504.57,1,12,bed,0
1206163_neurosketch,24,furniture,bed,2,19,0,25504.57,1,12,bed,0
1206163_neurosketch,24,furniture,bench,3,20,1,30001.97,1,26,bench,1
1206163_neurosketch,24,furniture,bench,3,21,1,30001.97,1,26,bench,0
1206163_neurosketch,24,furniture,bench,4,22,1,33004.51,1,25,bench,1
1206163_neurosketch,24,furniture,bench,4,23,1,33004.51,1,25,bench,0
1206163_neurosketch,24,furniture,bench,4,24,1,33004.51,1,25,bench,0
1206163_neurosketch,24,furniture,bed,5,25,0,37502.82,1,23,bed,1
1206163_neurosketch,24,furniture,bed,5,26,0,37502.82,1,23,bed,0
1206163_neurosketch,24,furniture,chair,6,27,1,40502.85,1,29,chair,1
1206163_neurosketch,24,furniture,chair,6,28,1,40502.85,1,29,chair,0
1206163_neurosketch,24,furniture,chair,6,29,1,40502.85,1,29,chair,0
1206163_neurosketch,24,furniture,table,7,30,0,45002.01,1,26,table,1
1206163_neurosketch,24,furniture,table,7,31,0,45002.01,1,26,table,0
1206163_neurosketch,24,furniture,table,7,32,0,45002.01,1,26,table,0
1206163_neurosketch,24,furniture,bench,8,33,1,49502.14,1,29,bench,1
1206163_neurosketch,24,furniture,bench,8,34,1,49502.14,1,29,bench,0
1206163_neurosketch,24,furniture,bench,8,35,1,49502.14,1,29,bench,0
1206163_neurosketch,24,2,table,9,36,0,54001.79,1,9,table,1
1206163_neurosketch,24,2,table,9,37,0,54001.79,1,9,table,0
1206163_neurosketch,24,2,table,9,38,0,54001.79,1,9,table,0
1206163_neurosketch,24,2,table,9,39,0,54001.79,1,9,table,0
1206163_neurosketch,24,furniture,bed,10,40,0,60002.54,1,0,bed,1
1206163_neurosketch,24,furniture,bed,10,41,0,60002.54,1,0,bed,0
1206163_neurosketch,24,furniture,bed,10,42,0,60002.54,1,0,bed,0
1206163_neurosketch,24,furniture,chair,11,43,1,64502.03,1,35,chair,1
1206163_neurosketch,24,furniture,chair,11,44,1,64502.03,1,35,chair,0
1206163_neurosketch,24,furniture,bench,12,45,1,67502.75,1,21,bench,1
1206163_neurosketch,24,furniture,bench,12,46,1,67502.75,1,21,bench,0
1206163_neurosketch,24,furniture,table,13,47,0,70502.1,1,32,table,1
1206163_neurosketch,24,furniture,table,13,48,0,70502.1,1,32,table,0
1206163_neurosketch,24,furniture,bed,14,49,0,73502.67,1,37,bed,1
1206163_neurosketch,24,furniture,bed,14,50,0,73502.67,1,37,bed,0
1206163_neurosketch,24,furniture,bed,14,51,0,73502.67,1,37,bed,0
1206163_neurosketch,24,furniture,chair,15,52,1,78002.05,1,8,chair,1
1206163_neurosketch,24,furniture,chair,15,53,1,78002.05,1,8,chair,0
1206163_neurosketch,24,furniture,chair,15,54,1,78002.05,1,8,chair,0
1206163_neurosketch,24,furniture,chair,15,55,1,78002.05,1,8,chair,0
1206163_neurosketch,24,furniture,chair,16,56,1,84002.96,1,9,chair,1
1206163_neurosketch,24,furniture,chair,16,57,1,84002.96,1,9,chair,0
1206163_neurosketch,24,furniture,chair,16,58,1,84002.96,1,9,chair,0
1206163_neurosketch,24,furniture,table,17,59,0,88502.3,1,21,table,1
1206163_neurosketch,24,furniture,table,17,60,0,88502.3,1,21,table,0
1206163_neurosketch,24,furniture,table,17,61,0,88502.3,1,21,table,0
1206163_neurosketch,24,furniture,table,17,62,0,88502.3,1,21,table,0
1206163_neurosketch,24,furniture,bed,18,63,0,94502.84,1,7,bed,1
1206163_neurosketch,24,furniture,bed,18,64,0,94502.84,1,7,bed,0
1206163_neurosketch,24,2,bench,19,65,1,97503.03,1,36,bench,1
1206163_neurosketch,24,2,bench,19,66,1,97503.03,1,36,bench,0
1206163_neurosketch,24,furniture,bench,20,67,1,100502.56,1,4,bench,1
1206163_neurosketch,24,furniture,bench,20,68,1,100502.56,1,4,bench,0
1206163_neurosketch,24,furniture,bench,20,69,1,100502.56,1,4,bench,0
1206163_neurosketch,24,furniture,bench,20,70,1,100502.56,1,4,bench,0
1206163_neurosketch,24,furniture,table,21,71,0,106502.3,1,10,table,1
1206163_neurosketch,24,furniture,table,21,72,0,106502.3,1,10,table,0
1206163_neurosketch,24,furniture,table,21,73,0,106502.3,1,10,table,0
1206163_neurosketch,24,furniture,bed,22,74,0,111002.72,1,34,bed,1
1206163_neurosketch,24,furniture,bed,22,75,0,111002.72,1,34,bed,0
1206163_neurosketch,24,furniture,chair,23,76,1,114003.12,1,32,chair,1
1206163_neurosketch,24,furniture,chair,23,77,1,114003.12,1,32,chair,0
1206163_neurosketch,24,furniture,chair,23,78,1,114003.12,1,32,chair,0
1206163_neurosketch,24,furniture,chair,23,79,1,114003.12,1,32,chair,0
1206163_neurosketch,24,furniture,bench,24,80,1,120004.13,1,2,chair,1
1206163_neurosketch,24,furniture,bench,24,81,1,120004.13,1,2,chair,0
1206163_neurosketch,24,furniture,chair,25,82,1,123002.47,1,27,chair,1
1206163_neurosketch,24,furniture,chair,25,83,1,123002.47,1,27,chair,0
1206163_neurosketch,24,furniture,chair,25,84,1,123002.47,1,27,chair,0
1206163_neurosketch,24,furniture,bed,26,85,0,127502.91,1,4,bed,1
1206163_neurosketch,24,furniture,bed,26,86,0,127502.91,1,4,bed,0
1206163_neurosketch,24,furniture,bed,26,87,0,127502.91,1,4,bed,0
1206163_neurosketch,24,furniture,table,27,88,0,132003.48,1,33,table,1
1206163_neurosketch,24,furniture,table,27,89,0,132003.48,1,33,table,0
1206163_neurosketch,24,furniture,table,27,90,0,132003.48,1,33,table,0
1206163_neurosketch,24,furniture,table,28,91,0,136502.75,1,3,table,1
1206163_neurosketch,24,furniture,table,28,92,0,136502.75,1,3,table,0
1206163_neurosketch,24,2,chair,29,93,1,139503.94,1,25,,1
1206163_neurosketch,24,2,chair,29,94,1,139503.94,1,25,,0
1206163_neurosketch,24,2,chair,29,95,1,139503.94,1,25,,0
1206163_neurosketch,24,2,chair,29,96,1,139503.94,1,25,,0
1206163_neurosketch,24,furniture,bed,30,97,0,145502.87,1,28,bed,1
1206163_neurosketch,24,furniture,bed,30,98,0,145502.87,1,28,bed,0
1206163_neurosketch,24,furniture,bench,31,99,1,148501.9,1,5,bench,1
1206163_neurosketch,24,furniture,bench,31,100,1,148501.9,1,5,bench,0
1206163_neurosketch,24,furniture,chair,32,101,1,151502.59,1,37,chair,1
1206163_neurosketch,24,furniture,chair,32,102,1,151502.59,1,37,chair,0
1206163_neurosketch,24,furniture,chair,32,103,1,151502.59,1,37,chair,0
1206163_neurosketch,24,furniture,bed,33,104,0,156002.9,1,31,bed,1
1206163_neurosketch,24,furniture,bed,33,105,0,156002.9,1,31,bed,0
1206163_neurosketch,24,furniture,bench,34,106,1,159002.21,1,14,bench,1
1206163_neurosketch,24,furniture,bench,34,107,1,159002.21,1,14,bench,0
1206163_neurosketch,24,furniture,bench,34,108,1,159002.21,1,14,bench,0
1206163_neurosketch,24,furniture,bench,34,109,1,159002.21,1,14,bench,0
1206163_neurosketch,24,furniture,table,35,110,0,165002.61,1,38,table,1
1206163_neurosketch,24,furniture,table,35,111,0,165002.61,1,38,table,0
1206163_neurosketch,24,furniture,table,36,112,0,168001.78,1,4,table,1
1206163_neurosketch,24,furniture,table,36,113,0,168001.78,1,4,table,0
1206163_neurosketch,24,furniture,table,36,114,0,168001.78,1,4,table,0
1206163_neurosketch,24,furniture,bench,37,115,1,172502.88,1,28,bench,1
1206163_neurosketch,24,furniture,bench,37,116,1,172502.88,1,28,bench,0
1206163_neurosketch,24,furniture,bench,37,117,1,172502.88,1,28,bench,0
1206163_neurosketch,24,furniture,chair,38,118,1,177002.4,1,0,chair,1
1206163_neurosketch,24,furniture,chair,38,119,1,177002.4,1,0,chair,0
1206163_neurosketch,24,2,bed,39,120,0,180001.73,1,1,bed,1
