wID,versionNum,category,object,trial,TRnum,condition,onset_time,run_num,viewpoint,response,onset
0119174_neurosketch,27,furniture,bench,0,0,-1,0.0,1,12,,0
0119174_neurosketch,27,furniture,bench,0,1,-1,0.0,1,12,,0
0119174_neurosketch,27,furniture,bench,0,2,-1,0.0,1,12,,0
0119174_neurosketch,27,furniture,bench,0,3,-1,0.0,1,12,,0
0119174_neurosketch,27,furniture,bench,0,4,-1,0.0,1,12,,0
0119174_neurosketch,27,furniture,bench,0,5,-1,0.0,1,12,,0
0119174_neurosketch,27,furniture,bench,0,6,-1,0.0,1,12,,0
0119174_neurosketch,27,furniture,bench,0,7,-1,0.0,1,12,,0
0119174_neurosketch,27,furniture,bench,0,8,0,12004.02,1,12,,1
0119174_neurosketch,27,furniture,bench,0,9,0,12004.02,1,12,,0
0119174_neurosketch,27,furniture,bench,0,10,0,12004.02,1,12,,0
0119174_neurosketch,27,furniture,bench,0,11,0,12004.02,1,12,,0
0119174_neurosketch,27,furniture,bench,0,12,0,12004.02,1,12,,0
0119174_neurosketch,27,furniture,chair,1,13,0,19502.77,1,22,chair,1
0119174_neurosketch,27,furniture,chair,1,14,0,19502.77,1,22,chair,0
0119174_neurosketch,27,furniture,chair,1,15,0,19502.77,1,22,chair,0
0119174_neurosketch,27,furniture,chair,1,16,0,19502.77,1,22,chair,0
0119174_neurosketch,27,furniture,table,2,17,1,25502.7,1,1,table,1
0119174_neurosketch,27,furniture,table,2,18,1,25502.7,1,1,table,0
0119174_neurosketch,27,furniture,table,2,19,1,25502.7,1,1,table,0
0119174_neurosketch,27,furniture,bed,3,20,1,30005.38,1,1,bed,1
0119174_neurosketch,27,furniture,bed,3,21,1,30005.38,1,1,bed,0
0119174_neurosketch,27,furniture,bed,3,22,1,30005.38,1,1,bed,0
0119174_neurosketch,27,furniture,chair,4,23,0,34503.45,1,32,chair,1
0119174_neurosketch,27,furniture,chair,4,24,0,34503.45,1,32,chair,0
