wID,versionNum,category,object,trial,TRnum,condition,onset_time,run_num,viewpoint,response,onset
0119172_neurosketch,21,furniture,bed,0,0,-1,0.0,1,25,,0
0119172_neurosketch,21,furniture,bed,0,1,-1,0.0,1,25,,0
0119172_neurosketch,21,furniture,bed,0,2,-1,0.0,1,25,,0
0119172_neurosketch,21,furniture,bed,0,3,-1,0.0,1,25,,0
0119172_neurosketch,21,furniture,bed,0,4,-1,0.0,1,25,,0
0119172_neurosketch,21,furniture,bed,0,5,-1,0.0,1,25,,0
0119172_neurosketch,21,furniture,bed,0,6,-1,0.0,1,25,,0
0119172_neurosketch,21,furniture,bed,0,7,-1,0.0,1,25,,0
0119172_neurosketch,21,furniture,bed,0,8,0,12004.81,1,25,,1
0119172_neurosketch,21,furniture,bed,0,9,0,12004.81,1,25,,0
0119172_neurosketch,21,furniture,bed,0,10,0,12004.81,1,25,,0
0119172_neurosketch,21,furniture,bed,0,11,0,12004.81,1,25,,0
0119172_neurosketch,21,furniture,bed,0,12,0,12004.81,1,25,,0
0119172_neurosketch,21,furniture,chair,1,13,0,19502.81,1,6,chair,1
0119172_neurosketch,21,furniture,chair,1,14,0,19502.81,1,6,chair,0
0119172_neurosketch,21,furniture,chair,1,15,0,19502.81,1,6,chair,0
0119172_neurosketch,21,furniture,table,2,16,1,24002.41,1,10,table,1
0119172_neurosketch,21,furniture,table,2,17,1,24002.41,1,10,table,0
0119172_neurosketch,21,furniture,table,2,18,1,24002.41,1,10,table,0
0119172_neurosketch,21,furniture,bench,3,19,1,28501.53,1,19,bench,1
0119172_neurosketch,21,furniture,bench,3,20,1,28501.53,1,19,bench,0
0119172_neurosketch,21,furniture,bench,3,21,1,28501.53,1,19,bench,0
0119172_neurosketch,21,furniture,chair,4,22,0,33003.85,1,25,chair,1
0119172_neurosketch,21,furniture,chair,4,23,0,33003.85,1,25,chair,0
0119172_neurosketch,21,furniture,chair,4,24,0,33003.85,1,25,chair,0
0119172_neurosketch,21,furniture,chair,4,25,0,33003.85,1,25,chair,0
0119172_neurosketch,21,furniture,table,5,26,1,39002.23,1,32,table,1
0119172_neurosketch,21,furniture,table,5,27,1,39002.23,1,32,table,0
0119172_neurosketch,21,furniture,table,5,28,1,39002.23,1,32,table,0
0119172_neurosketch,21,furniture,table,5,29,1,39002.23,1,32,table,0
0119172_neurosketch,21,furniture,bed,6,30,0,45002.26,1,21,bed,1
0119172_neurosketch,21,furniture,bed,6,31,0,45002.26,1,21,bed,0
0119172_neurosketch,21,furniture,bed,6,32,0,45002.26,1,21,bed,0
0119172_neurosketch,21,furniture,bench,7,33,1,49502.89,1,17,bench,1
0119172_neurosketch,21,furniture,bench,7,34,1,49502.89,1,17,bench,0
0119172_neurosketch,21,furniture,bed,8,35,0,52501.61,1,34,bed,1
0119172_neurosketch,21,furniture,bed,8,36,0,52501.61,1,34,bed,0
0119172_neurosketch,21,2,chair,9,37,0,55501.65,1,24,chair,1
0119172_neurosketch,21,2,chair,9,38,0,55501.65,1,24,chair,0
0119172_neurosketch,21,2,chair,9,39,0,55501.65,1,24,chair,0
0119172_neurosketch,21,furniture,bench,10,40,1,60002.05,1,13,table,1
0119172_neurosketch,21,furniture,bench,10,41,1,60002.05,1,13,table,0
0119172_neurosketch,21,furniture,bench,10,42,1,60002.05,1,13,table,0
0119172_neurosketch,21,furniture,table,11,43,1,64501.91,1,3,table,1
0119172_neurosketch,21,furniture,table,11,44,1,64501.91,1,3,table,0
0119172_neurosketch,21,furniture,table,11,45,1,64501.91,1,3,table,0
0119172_neurosketch,21,furniture,bench,12,46,1,69001.85,1,25,bench,1
0119172_neurosketch,21,furniture,bench,12,47,1,69001.85,1,25,bench,0
0119172_neurosketch,21,furniture,table,13,48,1,72001.93,1,14,table,1
0119172_neurosketch,21,furniture,table,13,49,1,72001.93,1,14,table,0
0119172_neurosketch,21,furniture,table,13,50,1,72001.93,1,14,table,0
0119172_neurosketch,21,furniture,table,13,51,1,72001.93,1,14,table,0
0119172_neurosketch,21,furniture,bed,14,52,0,78001.83,1,37,bed,1
0119172_neurosketch,21,furniture,bed,14,53,0,78001.83,1,37,bed,0
0119172_neurosketch,21,furniture,bed,14,54,0,78001.83,1,37,bed,0
0119172_neurosketch,21,furniture,chair,15,55,0,82502.54,1,1,chair,1
0119172_neurosketch,21,furniture,chair,15,56,0,82502.54,1,1,chair,0
0119172_neurosketch,21,furniture,table,16,57,1,85502.47,1,35,table,1
0119172_neurosketch,21,furniture,table,16,58,1,85502.47,1,35,table,0
0119172_neurosketch,21,furniture,table,16,59,1,85502.47,1,35,table,0
0119172_neurosketch,21,furniture,table,16,60,1,85502.47,1,35,table,0
0119172_neurosketch,21,furniture,chair,17,61,0,91502.53,1,15,bed,1
0119172_neurosketch,21,furniture,chair,17,62,0,91502.53,1,15,bed,0
0119172_neurosketch,21,furniture,bed,18,63,0,94502.85,1,11,,1
0119172_neurosketch,21,furniture,bed,18,64,0,94502.85,1,11,,0
0119172_neurosketch,21,2,bench,19,65,1,97501.83,1,18,bench,1
0119172_neurosketch,21,2,bench,19,66,1,97501.83,1,18,bench,0
0119172_neurosketch,21,2,bench,19,67,1,97501.83,1,18,bench,0
0119172_neurosketch,21,furniture,chair,20,68,0,102002.81,1,21,chair,1
0119172_neurosketch,21,furniture,chair,20,69,0,102002.81,1,21,chair,0
0119172_neurosketch,21,furniture,chair,20,70,0,102002.81,1,21,chair,0
0119172_neurosketch,21,furniture,chair,20,71,0,102002.81,1,21,chair,0
0119172_neurosketch,21,furniture,bed,21,72,0,108003.98,1,32,bed,1
0119172_neurosketch,21,furniture,bed,21,73,0,108003.98,1,32,bed,0
0119172_neurosketch,21,furniture,table,22,74,1,111003.2,1,16,table,1
0119172_neurosketch,21,furniture,table,22,75,1,111003.2,1,16,table,0
