,subject,roi,pearson,slope,spearman
0,1121161_neurosketch,V1,0.08297165941147326,0.0014870434782608642,0.4
1,1130161_neurosketch,V1,0.10810469188910898,0.0010558043478260883,0.4
2,1201161_neurosketch,V1,0.6425057095639933,0.009600869565217387,0.4
3,1202161_neurosketch,V1,-0.493655138838754,-0.01018330434782608,-0.4
4,1203161_neurosketch,V1,0.5541521144996838,0.005761934782608688,0.6
5,1206161_neurosketch,V1,-0.7353890433990227,-0.011556891304347828,-0.8
6,1206162_neurosketch,V1,-0.06618652202566679,-0.00021952173913043668,-0.2
7,1206163_neurosketch,V1,-0.6927289030859206,-0.005231521739130436,-0.8
8,1207162_neurosketch,V1,0.8474074695514169,0.00392226086956522,0.6
9,0110171_neurosketch,V1,-0.9029877650665057,-0.007959999999999998,-0.8
10,0110172_neurosketch,V1,-0.010996798506451147,-4.141304347825819e-05,-0.2
11,0111171_neurosketch,V1,-0.19362121413790748,-0.0015584347826086995,0.0
12,0112171_neurosketch,V1,-0.9750466524151754,-0.006863586956521739,-1.0
13,0112172_neurosketch,V1,0.008816260510431691,4.7565217391304024e-05,0.0
14,0112173_neurosketch,V1,-0.8713372548843491,-0.004831695652173918,-0.8
15,0113171_neurosketch,V1,-0.6815260152515411,-0.0018256521739130436,-0.4
16,0115174_neurosketch,V1,0.29982085622098903,0.0017611521739130428,0.4
17,0117171_neurosketch,V1,-0.43563171690815783,-0.0018120434782608705,-0.6
18,0118171_neurosketch,V1,-0.7752593915093793,-0.02045467391304348,-0.6
19,0118172_neurosketch,V1,-0.1987386016687182,-0.0025868478260869508,0.4
20,0119171_neurosketch,V1,0.21672505867396594,0.002180195652173913,-0.2
21,0119172_neurosketch,V1,0.4186781558147266,0.004640717391304347,0.4
22,0119173_neurosketch,V1,0.3385338719104329,0.0038091304347826057,0.6
23,0119174_neurosketch,V1,-0.15890685673933788,-0.00324597826086956,-0.4
24,0120171_neurosketch,V1,0.6591212972812336,0.001988347826086955,0.8
25,0120172_neurosketch,V1,0.6756468837232743,0.0031879347826086943,0.4
26,0120173_neurosketch,V1,0.5014633363073508,0.05092484782608693,0.4
27,0123171_neurosketch,V1,0.6904368674141828,0.0038546739130434784,0.8
28,0123173_neurosketch,V1,0.28755545283599654,0.005954239130434788,0.4
29,0124171_neurosketch,V1,0.5764396232096414,0.0029621739130434805,0.8
30,0125171_neurosketch,V1,0.848993360619778,0.00795282608695652,0.8
31,0125172_neurosketch,V1,-0.09595978797101119,-0.001135021739130437,0.0
32,1121161_neurosketch,V2,0.23237088842892142,0.0020909347826086966,0.4
33,1130161_neurosketch,V2,0.6371905872335952,0.007095652173913045,0.8
34,1201161_neurosketch,V2,0.7287528284305737,0.011891130434782606,0.4
35,1202161_neurosketch,V2,0.19355373948888183,0.002979304347826086,-0.2
36,1203161_neurosketch,V2,0.3883003891915885,0.0030267391304347807,0.6
37,1206161_neurosketch,V2,-0.7866110435864274,-0.013719043478260867,-0.8
38,1206162_neurosketch,V2,0.31483414871027304,0.0007958260869565225,0.4
39,1206163_neurosketch,V2,-0.5403536972351985,-0.0032014999999999973,-0.4
40,1207162_neurosketch,V2,0.5850722670870742,0.0018666304347826073,0.6
41,0110171_neurosketch,V2,-0.8980433344247005,-0.008530717391304343,-0.8
42,0110172_neurosketch,V2,0.4797479334836166,0.002279456521739128,0.4
43,0111171_neurosketch,V2,-0.04470210846469156,-0.0003599999999999988,0.0
44,0112171_neurosketch,V2,-0.9328727269389941,-0.004634760869565214,-1.0
45,0112172_neurosketch,V2,0.2936409792384,0.0019304565217391268,0.6
46,0112173_neurosketch,V2,-0.9976811731435403,-0.002857086956521735,-1.0
47,0113171_neurosketch,V2,-0.475307357679061,-0.0006882826086956521,-0.4
48,0115174_neurosketch,V2,0.558464627414429,0.004609217391304348,0.4
49,0117171_neurosketch,V2,-0.18913226811331002,-0.000894760869565217,0.0
50,0118171_neurosketch,V2,-0.7891690045898889,-0.01662610869565217,-0.6
51,0118172_neurosketch,V2,-0.419061996204251,-0.004874913043478267,-0.8
52,0119171_neurosketch,V2,0.39960328054809546,0.004080934782608698,0.6
53,0119172_neurosketch,V2,0.3726986814775006,0.006532282608695652,0.4
54,0119173_neurosketch,V2,0.5199039549600333,0.0038326086956521773,0.6
55,0119174_neurosketch,V2,-0.1277029032651758,-0.002854521739130435,0.2
56,0120171_neurosketch,V2,0.20827761408157397,0.0006013478260869583,0.0
57,0120172_neurosketch,V2,0.7888105125763908,0.0035723913043478315,0.8
58,0120173_neurosketch,V2,0.44819035561041365,0.03342543478260866,0.4
59,0123171_neurosketch,V2,0.6788391824065989,0.002199630434782609,0.8
60,0123173_neurosketch,V2,0.35299848034995335,0.007644673913043474,0.6
