,IDs,AnchoredTrainedDiff_V1,AnchoredTrainedDiff_V2,AnchoredTrainedDiff_LOC,AnchoredTrainedDiff_IT,AnchoredTrainedDiff_fusiform,AnchoredTrainedDiff_parahippo,AnchoredTrainedDiff_PRC,AnchoredTrainedDiff_ento,AnchoredTrainedDiff_hipp,AnchoredTrainedDiff_mOFC,AnchoredTrainedDiff_Frontal,AnchoredTrainedDiff_Parietal,AnchoredTrainedDiff_supraMarginal,AnchoredTrainedDiff_Insula,AnchoredTrainedDiff_postCentral,AnchoredTrainedDiff_preCentral,AnchoredControlDiff_V1,AnchoredControlDiff_V2,AnchoredControlDiff_LOC,AnchoredControlDiff_IT,AnchoredControlDiff_fusiform,AnchoredControlDiff_parahippo,AnchoredControlDiff_PRC,AnchoredControlDiff_ento,AnchoredControlDiff_hipp,AnchoredControlDiff_mOFC,AnchoredControlDiff_Frontal,AnchoredControlDiff_Parietal,AnchoredControlDiff_supraMarginal,AnchoredControlDiff_Insula,AnchoredControlDiff_postCentral,AnchoredControlDiff_preCentral,UnanchoredTrainedDiff_V1,UnanchoredTrainedDiff_V2,UnanchoredTrainedDiff_LOC,UnanchoredTrainedDiff_IT,UnanchoredTrainedDiff_fusiform,UnanchoredTrainedDiff_parahippo,UnanchoredTrainedDiff_PRC,UnanchoredTrainedDiff_ento,UnanchoredTrainedDiff_hipp,UnanchoredTrainedDiff_mOFC,UnanchoredTrainedDiff_Frontal,UnanchoredTrainedDiff_Parietal,UnanchoredTrainedDiff_supraMarginal,UnanchoredTrainedDiff_Insula,UnanchoredTrainedDiff_postCentral,UnanchoredTrainedDiff_preCentral,UnanchoredControlDiff_V1,UnanchoredControlDiff_V2,UnanchoredControlDiff_LOC,UnanchoredControlDiff_IT,UnanchoredControlDiff_fusiform,UnanchoredControlDiff_parahippo,UnanchoredControlDiff_PRC,UnanchoredControlDiff_ento,UnanchoredControlDiff_hipp,UnanchoredControlDiff_mOFC,UnanchoredControlDiff_Frontal,UnanchoredControlDiff_Parietal,UnanchoredControlDiff_supraMarginal,UnanchoredControlDiff_Insula,UnanchoredControlDiff_postCentral,UnanchoredControlDiff_preCentral
0,0110171_neurosketch,0.013968704883574767,0.026494451030159433,0.024231654937364788,0.00214460486256568,0.017852904584031215,-0.06619125908895018,-0.038200584379763425,0.026076062153556068,-0.05699278161251148,-0.04560009867622611,-0.08676674529162129,-0.03507401869512641,-0.012364390094217886,-0.26202375393566046,0.018473084332423034,-0.06604479037217109,-0.06528555265700164,-0.04804856982146516,-0.011795651062395107,-0.045405650314833956,-0.00865814531707193,-0.03537841019757293,-0.027563925611219342,0.005803465419964682,-0.031786469296066044,-0.02332171546454831,-0.07033534597107363,-0.07230926525329365,-0.1369023886331009,0.28241682711535326,-0.09298986235713946,-0.004189431697673718,-0.04108751924712045,-0.026712008405356757,0.010066231341251064,-0.006937842022093688,0.004869095589522088,-0.07115229333436768,0.005917277082305494,-0.033891895822089624,-0.13634564006581829,-0.20682430749556757,-0.04024682831882492,-0.115854225139988,-0.1626721914001919,-0.3184422920951856,0.00592546045561787,-0.022108403240693963,-0.06064250893581591,-0.02904376659041774,-0.0006135307951135593,-0.04537860033064345,-0.0035891324602418395,-0.00646467506686299,-0.03469988347264863,2.660076592042593e-05,-0.06408371880257357,-0.08604076409362238,0.012728826724875297,-0.09676586146514854,-0.11452053300080944,0.15853751441556008,-0.11727187107192111,-0.024000561827241362
1,0110172_neurosketch,-0.010256120510079236,-0.0012195994900630058,0.024392649239303676,-0.04556825474497617,-0.019245589687205494,-0.008815757597924634,0.00785923934171412,0.026257817222510083,-0.00771259297382787,-0.10520494442086892,-0.10085134634951992,-0.08930024653272106,-0.027658500304378608,-0.17486833554236414,-0.07205568714031974,-0.05025941989933913,0.04774762045736869,0.01951844060599356,0.001559903863409623,0.027318893315043558,0.016532425447441157,0.06040251221451898,0.026593038638063782,0.03905194777488752,0.034063502596833994,0.14020002493211958,-0.06248393385263745,0.023861669766752913,-0.0024388811705993163,0.07839570329245354,-0.01881229247848601,0.032002132115548254,-0.04230624075647793,-0.05372533257849321,-0.05386225350723545,-0.18301568773601629,-0.1010133162106987,-0.349958193402903,-0.13086250332591232,-0.09349589786842993,-0.2420515948404699,-0.19022517678065154,0.13554026180506573,-0.1542603810811209,-0.04847082140197345,-0.3001745596434081,-0.12326499771989596,-0.08988972524729033,0.028184276972001432,0.0033672490224039286,-0.005613015662362997,-0.03831358894348047,-0.02321715757788012,0.017922497024971173,-0.03060216126798254,-0.01759998123494877,-0.11582149540584907,0.012602719347479141,-0.005523536054866329,-0.016785660221645293,-0.020837022156445117,0.11676675765405076,-0.09896116368906216,0.010596602889506146
2,0111171_neurosketch,0.06765891402446572,0.03772071899370466,0.04425285376162447,0.07861873045826617,0.021371220932028312,-0.09343221035551219,-0.0439423603786101,-0.03346659789822898,0.0006044109913393991,0.08148115493737895,-0.050641529953526776,0.06078974901599907,0.0711106420764554,0.11791928315803751,-0.1439349580925996,-0.04265496980136535,0.005740777892114413,0.0027821543833053686,-0.010967419238962134,-0.021706969617172056,0.0009446138708493756,-0.009490892094059733,0.0012387761338688574,0.028058862598287604,-0.017255592506828343,0.04041110500044631,0.03145645280685805,-0.07280602990930007,0.029692718721143152,0.019196749694713244,0.05952287287060265,0.015812793217499954,0.08694684342040127,0.05326618936287697,0.05286463009422293,0.1335612012684252,0.03854514350547744,-0.005218844556752478,-0.018467560083610612,-0.01100025225916057,0.017315002514378897,-0.011494860950940211,-0.13391346545636562,0.07735814846932015,0.09388080699238732,-0.08836963431154521,-0.08046347983033642,-0.004274515424696146,0.07348084979365554,0.06260094372996228,0.034892688523215976,0.023573677278101557,0.02483996956693424,0.00877685886930124,-0.005794390181120268,-0.05080871637785245,0.009088656139994544,0.05952237677895478,0.007580383226312382,0.08706917755106858,0.08522591341511687,-0.03097392238357838,0.21911319655015593,0.11797929937344809
3,0112171_neurosketch,-0.0008416033598308004,0.0022554418441042556,-0.034087432368975684,-0.05269757775906031,-0.05588679881788286,-0.012347719336217422,0.06400326910938314,0.10386678799624638,-0.08204375928272234,0.0499824246999358,-0.0032094622756252966,-0.008233591464069046,0.038978185485504746,0.16472452696064988,0.07005050135218077,-0.005159782914542832,0.013513983690548487,0.006514983817725195,-0.02286498124995323,-0.03420362491963913,-0.045380950306374845,-0.026334162789579174,-0.028409180304757864,-0.014563023163633448,-0.05875485303109723,-0.01678982059186307,0.04081000006839525,-0.07295134813528961,-0.10774533768448838,0.35304606106528336,0.1268723834615721,0.05607217307196538,-0.03276275752958924,-0.020433385770269652,0.020043390917254877,-0.021180980639998848,-0.0755190689047111,-0.0009168885152195383,0.0802226580672123,0.08647713217080621,-0.06888458707064449,-0.02513435903539396,0.07206318932843286,0.04044219171617408,0.02725303984938321,0.3123748912139097,-0.019599643492418217,-0.0050718976772966,0.1081575722834498,0.10027544067527261,0.024185126849484262,0.028678389348399946,-0.017967812301053043,0.02613813649808916,-0.015484000985877988,0.05412902386999141,-0.05698661438879471,-0.0031925249922946097,-0.007695164937487897,0.02509423111732223,0.12382635892284322,0.3037843930508851,0.15286104421508206,0.04487421133955943
4,0112172_neurosketch,0.015041669094790266,0.0029491466826978008,0.002315168223881503,-0.00010098856210466467,0.007229709328400058,0.003432313443169299,-0.033731052730108124,-0.010260828473186268,-0.02136191796025466,0.037781383542291325,0.1299437194821145,0.010974864857806521,0.06393713445370286,0.047590643341526295,0.06255028784271616,0.001425709829513011,-0.027364908062115723,0.0021565354211154353,0.01697546359242985,0.03576176309116624,-0.03739053838065892,-0.06535831092383831,-0.07278031516632488,-0.09696080585153233,-0.026269183911150795,0.06120288718559047,-0.16085298361322653,0.03773306560696327,-0.07158855301162659,-0.012721605987024653,0.0056179407393694425,-0.003163124538289097,-0.046884789146578454,-0.0351659490309737,-0.028634948260208182,-0.026832259123232394,-0.012058948081054677,-0.09090373658655959,-0.0701358347205423,-0.051621784567146944,-0.011614579017752313,0.00579231670047009,0.08779204229307525,-0.05557996935777604,0.03406951332441954,0.17039657666045444,0.04780118371505393,-0.01230928311330004,-0.029094720880307845,0.013730570395719899,0.013986651985571807,0.0726483004074876,-0.0036736832084285354,-0.013140205681634765,-0.029092301099973294,0.007124190522661111,0.03976180825128817,0.0382197920942291,-0.13231831954210094,0.06692331988108835,0.05925647849794635,-0.005312115498668835,0.06146592757157643,-0.0014053305472748745
5,0112173_neurosketch,0.01672793947874948,-0.01479903752869649,-0.0227540759333896,-0.01083246271102034,0.0010408501153963412,0.003861713266153588,-0.04791365471965536,-0.060520486084550296,-0.015561027176323738,-0.011806157014849938,0.011469493003215037,0.018139612065047217,-0.06713673994567287,0.04949196365895775,-0.028735486566341145,0.007752979610190336,0.05948313949191977,0.07100410330648044,0.04408779236083521,0.03530231481424978,0.07606485019702802,0.012439632787288268,0.021969849174926614,-0.045699376375166856,0.014694385442441782,0.008907430667471572,-0.0642428528811369,0.01915477143798261,0.039134739480132685,0.06361280101290928,0.029752874822019992,0.0008486643543008099,0.010258512478624082,-0.03342430412097469,-0.03609019076161496,-0.05122383445568124,-0.026311994426469476,-0.007551821327065111,-0.05880516787266121,-0.04370118190469774,-0.032144075832588825,-0.01872180725187822,0.06874392024267961,-0.010744242089367473,-0.035493262207233256,-0.015902871940412067,-0.062112258005593446,-0.048699553234589854,0.03826728280624847,0.0463677094095995,0.022580074219966773,-0.04535354054977847,0.04678771686412231,-0.040491253862291465,0.00861334154800908,-0.02628304031171258,0.013174114504530543,-0.03584843267257054,0.004575186585571989,0.025456441143595687,0.03473962526058705,0.012906860412341237,0.008788440427232536,0.005122934806409352
6,0113171_neurosketch,0.005762241015261571,-0.0059112264889609745,-0.007162471505088225,0.02232567079874964,-0.005747674752075604,0.03514294182723665,0.04284931465081482,-0.007469354406389739,0.008293509065061266,0.02337990190253819,-0.018183708189338982,0.040273792089552674,-0.01183913742584175,0.3206123879743531,-0.016946178744455836,0.01223945033662463,0.015185579788457304,0.01909297589861092,0.012261414929238101,-0.016609842906845085,0.003503801291701636,-0.025387989289017254,-0.02873178884310179,-0.006739250907253913,-0.0026631459248157574,-0.024564165574133545,0.01218253930751384,-0.023721080217981444,-0.018359955589218407,-0.04756245754323479,0.006062823557390046,0.0038372151694830714,-0.05480519908551895,-0.040597965418037174,-0.02868225113062628,0.02740578195000032,-0.015108849111475031,0.03209966300436673,0.09611822190607944,0.046675026446270085,0.06101059510147655,0.049907321611738165,-0.03969315206593671,0.019443218940764062,-0.004004293265604697,0.4039295307792648,0.026678335128665687,0.018642385972737152,-0.03220667016536871,-0.025496467848323157,0.000777193404834231,-0.006129090791879954,-0.02794725944795723,-0.051472667216513446,-0.06399120885834764,-0.03324448334156571,-0.026203203892578242,-0.039095202749187874,-0.06236585447113441,-0.023212706578739695,-0.03256550418063897,0.0555759848086379,-0.006337632315882746,-0.01891314912786979
7,0115174_neurosketch,0.014233888906906522,0.04545252526488758,0.041848835761988085,0.08138110383047403,0.0855532019949859,0.13378584581944303,-0.00041948032993260886,0.045129452464005515,0.059922348592832575,-0.023120190921646855,0.06210880971125035,-0.029239865630206086,-0.05223652827478267,0.13074359589115314,-0.11146682422591483,-0.02174327191504291,-0.014980086555111682,-0.020342092407339973,-0.057777576049634266,-0.02388528585097377,-0.02076198291461856,0.13460923288633841,0.06915218964895703,-0.004335652279972013,-0.008924576276091223,0.03280190438825459,-0.04625249978091556,-0.11315289398623296,-0.10479704997494826,0.029420453400097912,-0.09778376780444453,-0.03598970426760112,-0.024325760258413154,-0.023149087294113746,-0.03185993288233674,-0.06332488854928608,-0.018418800197966934,0.03996525374191695,-0.057618383188967726,-0.021945030022973544,0.005040864007358037,-0.030725786923780363,0.09157262238854319,-0.07282289141342685,-0.030328599690165325,-0.13742646825227162,-0.08551931822678571,-0.030658062249480478,0.016781770618738756,0.008201321334566303,-0.060529107591253906,-0.02927764776963182,-0.024053886956058423,0.13696803329620805,0.04049965424333202,0.021894096776415628,-0.018766383587169255,0.0055164078302732955,-0.009159585848738605,-0.08059014616090338,-0.02549164372068946,0.023902490883822458,-0.03280622011702422,-0.03187186089814059
8,0117171_neurosketch,-0.04165411294836502,-0.04552057137379867,-0.12264098689349928,-0.037504345685165585,-0.06290825710335213,0.02139505405049391,0.021777624083029634,-0.05857628921994029,0.009962997686669361,-0.06755680919742763,-0.03544551667510318,-0.09102115960795648,-0.06914727178761518,-0.046356019036446816,-0.05914388688060063,-0.06242151395121048,0.055701903669816366,0.03165906249085221,-0.005182754386948207,0.028773220494437035,-0.0192765596325557,-0.047481591495942166,-0.011722052027052676,0.0012464634840192446,0.009465242986010425,-0.03213807751825515,-0.009912059502172249,0.0002800986045637388,0.011188165679903272,-0.08181592638118607,0.00852397389818782,0.0028466227860482474,0.05769425576993248,0.04019166965664267,-0.04539662662441962,0.049764883065824606,-0.007543482964023296,0.05545700496494743,0.03424888090686362,-0.06800110218402045,-0.01745607176743802,-0.031016572340703652,-0.030593512743382845,-0.03646754580204142,0.049962402752197654,-0.18619506012573916,0.14771038112408819,0.009829017978167709,-0.015386633313735687,0.025960819986706962,0.023408911636349228,0.008426211922428317,-0.016496756117060363,-0.10097371781241193,-0.01596171318855577,-0.003247194788562169,-0.006324663302257116,0.013531485501621532,-0.06736653947108295,0.013592247285188486,0.034090088605511826,-0.052836290878432335,-0.04734709058444386,-0.011302559159249714
9,0118171_neurosketch,-0.03096220263575447,-0.02534884743318494,0.0014321406204790554,-0.06191214856373528,-0.04428176388259519,0.014298347405028444,-0.04040284435442143,0.0601339967769024,-0.025998955208991814,-0.02534023623323528,-0.047701819361935016,-0.18139377095844672,-0.04028203177390183,0.11268057557723327,0.015565044800265382,-0.035792504114260715,-0.007822407562556366,-0.010923279198104735,-0.05964393032581683,-0.05249512259353839,0.005179015689792454,0.017588666281741383,-0.0542441903004639,-0.05472896781127223,0.003912887149023714,0.007110288851713498,-0.04709808050661363,-0.08882266248599052,-0.06630649491814944,-0.06235356283948762,0.019647992479139842,-0.07229768158453564,-0.061478651338592094,-0.03558802184787996,-0.0019814577985273196,-0.01966977959329308,-0.050537164983663785,-0.030749697961682365,-0.12965220059864657,-0.017887796525045685,-0.04253186469821746,-0.014632845010809303,-0.1427589444595052,-0.14555172761027158,0.008975563318783575,0.04884565638534322,-0.017031514831779893,-0.025959543761902903,-0.01578782626163122,-0.021371480138999865,-0.06831339556905047,-0.06436654332491787,-0.011877507176422997,0.06006003033303564,-0.055666207044599125,-0.07017735519722745,-0.012664611245346347,-0.03412788354407803,-0.12458924285363326,-0.09274917595867771,-0.016678316310230645,0.18958405631041375,0.04470855279439112,-0.03743180107182109
