,IDs,AnchoredTrainedDiff_V1,AnchoredTrainedDiff_V2,AnchoredTrainedDiff_LOC,AnchoredTrainedDiff_IT,AnchoredTrainedDiff_fusiform,AnchoredTrainedDiff_parahippo,AnchoredTrainedDiff_PRC,AnchoredTrainedDiff_ento,AnchoredTrainedDiff_hipp,AnchoredControlDiff_V1,AnchoredControlDiff_V2,AnchoredControlDiff_LOC,AnchoredControlDiff_IT,AnchoredControlDiff_fusiform,AnchoredControlDiff_parahippo,AnchoredControlDiff_PRC,AnchoredControlDiff_ento,AnchoredControlDiff_hipp,UnanchoredTrainedDiff_V1,UnanchoredTrainedDiff_V2,UnanchoredTrainedDiff_LOC,UnanchoredTrainedDiff_IT,UnanchoredTrainedDiff_fusiform,UnanchoredTrainedDiff_parahippo,UnanchoredTrainedDiff_PRC,UnanchoredTrainedDiff_ento,UnanchoredTrainedDiff_hipp,UnanchoredControlDiff_V1,UnanchoredControlDiff_V2,UnanchoredControlDiff_LOC,UnanchoredControlDiff_IT,UnanchoredControlDiff_fusiform,UnanchoredControlDiff_parahippo,UnanchoredControlDiff_PRC,UnanchoredControlDiff_ento,UnanchoredControlDiff_hipp
0,0110171_neurosketch,0.013968704883572464,0.026494451030158545,0.024231654937364677,0.0021446048625658742,0.01785290458403138,-0.0661912590889504,-0.03820058437976387,0.026076062153556068,-0.05699278161251159,-0.06528555265700259,-0.04804856982146449,-0.011795651062393608,-0.04540565031483357,-0.008658145317071375,-0.03537841019757293,-0.027563925611219564,0.005803465419964682,-0.03178646929606588,-0.04108751924712062,-0.026712008405360643,0.010066231341251508,-0.0069378420220931325,0.004869095589521422,-0.07115229333436801,0.005917277082305383,-0.033891895822089624,-0.1363456400658185,-0.06064250893581585,-0.029043766590418407,-0.0006135307951117275,-0.045378600330643115,-0.0035891324602411734,-0.0064646750668631014,-0.03469988347264852,2.6600765920314906e-05,-0.06408371880257346
1,0110172_neurosketch,-0.010256120510079014,-0.0012195994900630058,0.024392649239303676,-0.04556825474497661,-0.019245589687206077,-0.008815757597924578,0.007859239341714286,0.026257817222510027,-0.00771259297382787,0.04774762045736858,0.019518440605991144,0.0015599038634089846,0.027318893315043224,0.016532425447440963,0.060402512214519144,0.026593038638063615,0.03905194777488752,0.034063502596834216,-0.042306240756477154,-0.05372533257849327,-0.05386225350723667,-0.18301568773601595,-0.10101331621069887,-0.3499581934029028,-0.13086250332591243,-0.09349589786843004,-0.24205159484046956,0.028184276972001654,0.0033672490224020968,-0.005613015662364607,-0.03831358894348258,-0.02321715757788001,0.017922497024971062,-0.030602161267982764,-0.01759998123494877,-0.1158214954058493
2,0111171_neurosketch,0.06765891402446639,0.03772071899370366,0.04425285376162366,0.078618730458266,0.021371220932028867,-0.09343221035551169,-0.043942360378610434,-0.033466597898229034,0.0006044109913394546,0.005740777892114246,0.0027821543833055906,-0.010967419238963383,-0.0217069696171715,0.0009446138708487095,-0.009490892094059067,0.001238776133868802,0.028058862598287715,-0.017255592506828177,0.08694684342040115,0.05326618936287575,0.05286463009422132,0.13356120126842475,0.038545143505478885,-0.005218844556752589,-0.018467560083610945,-0.01100025225916057,0.017315002514378564,0.07348084979365677,0.06260094372996161,0.03489268852321503,0.02357367727810189,0.024839969566932907,0.008776858869301796,-0.005794390181120379,-0.050808716377852114,0.009088656139994877
3,0112171_neurosketch,-0.0008416033598336037,0.002255441844105255,-0.03408743236897638,-0.052697577759059366,-0.05588679881788228,-0.01234771933621781,0.06400326910938309,0.10386678799624638,-0.08204375928272234,0.013513983690549208,0.006514983817722919,-0.022864981249952565,-0.03420362491963952,-0.045380950306374984,-0.026334162789579063,-0.02840918030475803,-0.01456302316363367,-0.05875485303109751,-0.032762757529592124,-0.02043338577027065,0.02004339091725471,-0.02118098063999785,-0.0755190689047125,-0.0009168885152198714,0.08022265806721218,0.0864771321708061,-0.06888458707064438,0.10815757228344902,0.10027544067527194,0.024185126849485095,0.028678389348399058,-0.017967812301052266,0.02613813649808938,-0.0154840009858781,0.05412902386999119,-0.05698661438879493
4,0112172_neurosketch,0.015041669094789933,0.002949146682696857,0.0023151682238810034,-0.00010098856210488671,0.007229709328399836,0.0034323134431691327,-0.03373105273010801,-0.010260828473186434,-0.02136191796025466,-0.027364908062115723,0.0021565354211167675,0.016975463592430184,0.0357617630911668,-0.03739053838065898,-0.06535831092383848,-0.07278031516632483,-0.09696080585153227,-0.02626918391115124,-0.046884789146578454,-0.03516594903097425,-0.028634948260208848,-0.026832259123233726,-0.012058948081054677,-0.09090373658655959,-0.0701358347205423,-0.05162178456714728,-0.011614579017752202,-0.0290947208803094,0.01373057039572212,0.013986651985572973,0.07264830040748838,-0.0036736832084288684,-0.013140205681634987,-0.029092301099973183,0.007124190522661111,0.039761808251288056
5,0112173_neurosketch,0.016727939478750897,-0.014799037528696435,-0.022754075933390572,-0.010832462711020452,0.0010408501153962857,0.003861713266153588,-0.04791365471965525,-0.06052048608455041,-0.015561027176323683,0.05948313949192277,0.07100410330648038,0.044087792360834155,0.035302314814249725,0.07606485019702847,0.012439632787288157,0.021969849174926614,-0.0456993763751668,0.01469438544244206,0.010258512478624082,-0.03342430412097375,-0.03609019076161696,-0.05122383445568168,-0.0263119944264687,-0.007551821327065222,-0.0588051678726611,-0.04370118190469785,-0.032144075832588825,0.03826728280625036,0.04636770940959767,0.022580074219967328,-0.045353540549778804,0.04678771686412242,-0.040491253862291465,0.00861334154800908,-0.02628304031171258,0.01317411450453021
6,0113171_neurosketch,0.005762241015260683,-0.005911226488960503,-0.007162471505087614,0.02232567079874942,-0.005747674752076076,0.03514294182723665,0.042849314650814874,-0.00746935440638985,0.008293509065061322,0.015185579788458359,0.019092975898613057,0.012261414929239739,-0.01660984290684564,0.0035038012917021633,-0.025387989289017643,-0.02873178884310168,-0.006739250907254024,-0.0026631459248158684,-0.05480519908552017,-0.04059796541803734,-0.028682251130625114,0.027405781950000097,-0.015108849111475198,0.03209966300436673,0.0961182219060791,0.046675026446270196,0.06101059510147655,-0.03220667016536827,-0.025496467848319715,0.0007771934048357299,-0.006129090791880731,-0.027947259447956896,-0.05147266721651378,-0.06399120885834764,-0.03324448334156571,-0.026203203892578575
7,0115174_neurosketch,0.014233888906905301,0.04545252526488902,0.041848835761988806,0.08138110383047464,0.08555320199498417,0.13378584581944258,-0.0004194803299327754,0.04512945246400574,0.05992234859283291,-0.01498008655511307,-0.020342092407340473,-0.057777576049635904,-0.023885285850973825,-0.020761982914619115,0.13460923288633792,0.0691521896489577,-0.004335652279971958,-0.008924576276090779,-0.024325760258413487,-0.023149087294114024,-0.031859932882338404,-0.06332488854928708,-0.018418800197968543,0.03996525374191673,-0.057618383188967726,-0.021945030022973655,0.005040864007358259,0.016781770618737313,0.008201321334568634,-0.06052910759125579,-0.029277647769631487,-0.024053886956056703,0.13696803329620683,0.04049965424333224,0.021894096776415628,-0.018766383587170532
8,0117171_neurosketch,-0.04165411294836657,-0.045520571373801,-0.12264098689349884,-0.03750434568516531,-0.0629082571033523,0.021395054050494022,0.021777624083029634,-0.05857628921994046,0.009962997686669472,0.0557019036698167,0.03165906249085265,-0.005182754386948152,0.028773220494436424,-0.0192765596325557,-0.04748159149594244,-0.011722052027052676,0.0012464634840195221,0.009465242986010425,0.057694255769932146,0.04019166965664378,-0.045396626624418956,0.04976488306582594,-0.007543482964023185,0.055457004964947654,0.03424888090686373,-0.06800110218402056,-0.017456071767438353,-0.015386633313735576,0.025960819986707073,0.023408911636348506,0.008426211922428983,-0.01649675611706003,-0.10097371781241204,-0.01596171318855566,-0.003247194788562058,-0.006324663302257116
9,0118171_neurosketch,-0.030962202635752223,-0.025348847433187716,0.0014321406204790277,-0.061912148563735114,-0.04428176388259508,0.014298347405028333,-0.04040284435442143,0.06013399677690234,-0.025998955208991703,-0.007822407562557698,-0.01092327919810393,-0.059643930325816386,-0.05249512259353856,0.005179015689792288,0.017588666281741383,-0.05424419030046368,-0.05472896781127229,0.003912887149023492,-0.06147865133859087,-0.03558802184788057,-0.0019814577985269866,-0.019669779593292747,-0.05053716498366334,-0.030749697961682587,-0.12965220059864646,-0.017887796525045685,-0.04253186469821746,-0.015787826261632665,-0.021371480138999532,-0.06831339556904964,-0.06436654332491842,-0.011877507176423219,0.06006003033303564,-0.055666207044599236,-0.07017735519722745,-0.012664611245346569
