roi_formatted,subj,phase,trained,target_prob_raw,foil_prob_raw
ENT,110171,post,False,0.2559446693096902,0.2226528353550438
ENT,110171,post,True,0.29655231587124187,0.19322258328184158
ENT,110171,pre,False,0.23418916310601662,0.2545489451796302
ENT,110171,pre,True,0.22667025317314957,0.26070292593469185
ENT,110172,post,False,0.2604288653544019,0.25563712869240485
ENT,110172,post,True,0.2910537338212698,0.20765638522980745
ENT,110172,pre,False,0.27021569913245724,0.2722565591184577
ENT,110172,pre,True,0.20561066657419688,0.23396062045451305
ENT,111171,post,False,0.24417146491080524,0.29074668140843135
ENT,111171,post,True,0.28439257445056937,0.20419992661103956
ENT,111171,pre,False,0.218588097983296,0.2646522483173146
ENT,111171,pre,True,0.26651968353966876,0.2255112252857856
ENT,112171,post,False,0.2594715090908125,0.2602526042111108
ENT,112171,post,True,0.2765233798689083,0.22324491247888806
ENT,112171,pre,False,0.26856448103101105,0.2566428839091982
ENT,112171,pre,True,0.24249304793514845,0.2692136597851439
ENT,112172,post,False,0.2278066125408004,0.23645503489877123
ENT,112172,post,True,0.24705299160921695,0.19521001801532523
ENT,112172,pre,False,0.21905549154525,0.2428872916475901
ENT,112172,pre,True,0.1747902539313157,0.2761090377462992
ENT,112173,post,False,0.2514941484848654,0.21861169129019617
ENT,112173,post,True,0.2692101148602786,0.20665452208156063
ENT,112173,pre,False,0.2406337673832632,0.2684734815071296
ENT,112173,pre,True,0.24275602769747043,0.2585983115816609
ENT,113171,post,False,0.2325116423555081,0.27298181430517027
ENT,113171,post,True,0.2520134603345078,0.26349281092393834
ENT,113171,pre,False,0.19731180759460445,0.29842461625689
ENT,113171,pre,True,0.29603376987494545,0.2675102288616282
ENT,115174,post,False,0.2401172397452588,0.2542091422953429
ENT,115174,post,True,0.24105281837229403,0.23370616888016849
ENT,115174,pre,False,0.25443540991173547,0.22681633811837826
ENT,115174,pre,True,0.21779841853210508,0.30560087295647487
ENT,117171,post,False,0.3000681013292011,0.23213678063152327
ENT,117171,post,True,0.2743558205148709,0.21886408080269146
ENT,117171,pre,False,0.2844690004078002,0.21829529824600963
ENT,117171,pre,True,0.18466696753012488,0.3194500464938023
ENT,118171,post,False,0.27242795831401934,0.24261245120707664
ENT,118171,post,True,0.23224446901348816,0.19929786144807288
ENT,118171,pre,False,0.25509365171990156,0.2605014605919551
ENT,118171,pre,True,0.24228992560070178,0.23375050089591962
ENT,118172,post,False,0.2742035729471647,0.23742866269140142
ENT,118172,post,True,0.2516723869452057,0.23633833878429106
ENT,118172,pre,False,0.2560554802377051,0.2409275877561745
ENT,118172,pre,True,0.23797577266432213,0.2513996901659581
ENT,119171,post,False,0.20803808490655396,0.26177954312291135
ENT,119171,post,True,0.25936700359732595,0.2673890820935008
ENT,119171,pre,False,0.28857583995364994,0.23769930960595326
ENT,119171,pre,True,0.2582727997459164,0.2684981248549658
ENT,119172,post,False,0.26851938050600144,0.28800258977320803
ENT,119172,post,True,0.21788992651272862,0.2437727258452039
ENT,119172,pre,False,0.2761066204898194,0.2499949134827998
ENT,119172,pre,True,0.22079433374086072,0.30280204413045003
ENT,119173,post,False,0.2666049152344584,0.22907595326390565
ENT,119173,post,True,0.2279891342898935,0.2679822459954777
ENT,119173,pre,False,0.21799959856049553,0.22219777431264354
ENT,119173,pre,True,0.2426100882195085,0.30651530130644966
ENT,119174,post,False,0.33839388381630064,0.20562704487278877
ENT,119174,post,True,0.2746662753244661,0.23579000940642963
ENT,119174,pre,False,0.26433296958966795,0.23739100011076625
ENT,119174,pre,True,0.21903378108322608,0.23067796385602693
ENT,120171,post,False,0.279654400563913,0.22719776551139997
ENT,120171,post,True,0.24325685898744248,0.2499303378755214
ENT,120171,pre,False,0.24261447180856033,0.24184739145977807
ENT,120171,pre,True,0.22212883414986312,0.21706890472577692
ENT,120172,post,False,0.26909405255533336,0.22880556370807287
ENT,120172,post,True,0.24216248811948868,0.24613152078699332
ENT,120172,pre,False,0.25522481181266526,0.2098679448799031
ENT,120172,pre,True,0.2104150964875374,0.26350609441658013
ENT,120173,post,False,0.2532324399247079,0.21113075203352386
ENT,120173,post,True,0.24980281432666449,0.23951248918516374
ENT,120173,pre,False,0.23497241203134894,0.27066651959367144
ENT,120173,pre,True,0.22955295513074142,0.2534873162541217
ENT,123171,post,False,0.2584348243761845,0.27887782667516803
ENT,123171,post,True,0.2610905890903184,0.27852456920390206
ENT,123171,pre,False,0.24902253318504983,0.25578426603721716
ENT,123171,pre,True,0.22702948069280598,0.29314227579203717
ENT,123173,post,False,0.2824953201752879,0.24343729043409973
ENT,123173,post,True,0.24439278513065524,0.27618413208887055
ENT,123173,pre,False,0.24831360414482934,0.2662730526611641
ENT,123173,pre,True,0.2919984252732722,0.25280189828913424
ENT,124171,post,False,0.24467593790131784,0.2525093205638721
ENT,124171,post,True,0.1868548669221967,0.3292965676745492
ENT,124171,pre,False,0.27188040239805733,0.22422357737672355
ENT,124171,pre,True,0.2612972943989321,0.2420351200785042
ENT,125171,post,False,0.2442975699454107,0.2630254255488574
ENT,125171,post,True,0.2858061325903057,0.23527039669726987
ENT,125171,pre,False,0.27741496401633137,0.21557379823214468
ENT,125171,pre,True,0.23743153449672225,0.2758171919836258
ENT,125172,post,False,0.2771155394714363,0.258256883416691
ENT,125172,post,True,0.2546517665072954,0.25109258715312394
ENT,125172,pre,False,0.2120511001910444,0.27926341330998306
ENT,125172,pre,True,0.25114040255002673,0.21932114794437854
ENT,1121161,post,False,0.24179398481228573,0.2479319596578518
ENT,1121161,post,True,0.20828291820850944,0.2508338421295051
ENT,1121161,pre,False,0.21026665971011496,0.25006021285847735
ENT,1121161,pre,True,0.24493003236489988,0.21780264915893835
ENT,1130161,post,False,0.24256594301602624,0.25399496722399206
ENT,1130161,post,True,0.29302721854537217,0.2541020847782186
ENT,1130161,pre,False,0.25824390756962734,0.217946073571122
ENT,1130161,pre,True,0.2584521916711866,0.23061307263370198
ENT,1202161,post,False,0.21666383535880826,0.18770567740010796
ENT,1202161,post,True,0.22445645490706298,0.24668997137637633
ENT,1202161,pre,False,0.19615068287995685,0.22291238511935157
ENT,1202161,pre,True,0.29214760805262524,0.322238991092645
ENT,1203161,post,False,0.23480056655398696,0.27643951996394106
ENT,1203161,post,True,0.23335044668456978,0.24783014978118928
ENT,1203161,pre,False,0.24809699679977965,0.25276037284781794
ENT,1203161,pre,True,0.26901193160678927,0.23381345905357276
ENT,1206161,post,False,0.21105999250044838,0.2471489276238319
ENT,1206161,post,True,0.30582948060237725,0.19675731856975343
ENT,1206161,pre,False,0.22092574012972857,0.2353908712495366
