condition,roi,prepost_diff,sub
difference,FUS,0.008953273153036845,0117171
difference,FUS,-0.03865965780724012,0118171
difference,FUS,-0.037593526426753954,0118172
difference,FUS,-0.0280674005693462,0119171
difference,FUS,0.1614711436455425,0119172
difference,FUS,-0.01286281998083777,0119173
difference,FUS,0.013438432050301041,0119174
difference,FUS,-0.014625334653173117,0120171
difference,FUS,-0.05682216336190604,0120172
difference,FUS,-0.06913408524671294,0120173
difference,FUS,-0.01811645811105883,0123171
difference,FUS,0.02404192558957191,0123173
difference,FUS,-0.02361968243155238,0124171
difference,FUS,0.05227248744757268,0125171
difference,FUS,-0.01116750953707768,0125172
difference,FUS,0.03188196249107311,1121161
difference,FUS,0.105071433758682,1130161
difference,FUS,-0.1150789976730916,1202161
difference,FUS,0.09680848989682167,1203161
difference,FUS,-0.07313430592229075,1206161
difference,FUS,0.019173545346856558,1206162
difference,FUS,-0.004530169879036705,1206163
difference,FUS,0.03158959442988374,1207162
trained,PHC,-0.07115229333436801,0110171
trained,PHC,-0.3499581934029028,0110172
trained,PHC,-0.005218844556752589,0111171
trained,PHC,-0.0009168885152198714,0112171
trained,PHC,-0.09090373658655959,0112172
trained,PHC,-0.007551821327065222,0112173
trained,PHC,0.03209966300436673,0113171
trained,PHC,0.03996525374191673,0115174
trained,PHC,0.055457004964947654,0117171
trained,PHC,-0.030749697961682587,0118171
trained,PHC,-0.11750583162013484,0118172
trained,PHC,0.02155612611718616,0119171
trained,PHC,0.005176181909484323,0119172
trained,PHC,0.02179977746924977,0119173
trained,PHC,0.010042635396380284,0119174
trained,PHC,0.036987407170270936,0120171
trained,PHC,-0.01794059890026667,0120172
trained,PHC,-0.028607800587775123,0120173
trained,PHC,-0.018271087799627383,0123171
trained,PHC,0.04991612750370944,0123173
trained,PHC,-0.06469199158654237,0124171
trained,PHC,0.06096799139761033,0125171
trained,PHC,0.02278860398106186,0125172
trained,PHC,-0.042717605918799806,1121161
trained,PHC,-0.03861058426893893,1130161
trained,PHC,-0.0306905939615556,1202161
trained,PHC,-0.12097747107542911,1203161
trained,PHC,0.03267763441537075,1206161
trained,PHC,-0.09318074772162299,1206162
trained,PHC,0.02510754562320816,1206163
trained,PHC,-0.04013262591232414,1207162
control,PHC,-0.0064646750668631014,0110171
control,PHC,0.017922497024971062,0110172
control,PHC,0.008776858869301796,0111171
control,PHC,0.02613813649808938,0112171
control,PHC,-0.013140205681634987,0112172
control,PHC,-0.040491253862291465,0112173
control,PHC,-0.05147266721651378,0113171
control,PHC,0.13696803329620683,0115174
control,PHC,-0.10097371781241204,0117171
control,PHC,0.06006003033303564,0118171
control,PHC,-0.014937988444874373,0118172
control,PHC,0.1273628105470732,0119171
control,PHC,-0.4285969443314741,0119172
control,PHC,0.027990168706056306,0119173
control,PHC,-0.04076286607409191,0119174
control,PHC,-0.016265568002001407,0120171
control,PHC,0.05121198790151271,0120172
control,PHC,0.049082297032116196,0120173
control,PHC,-0.007264473051245335,0123171
control,PHC,-0.03761175459512722,0123173
control,PHC,-0.01340114045079055,0124171
control,PHC,-0.04331876371704002,0125171
control,PHC,0.00795210238443056,0125172
control,PHC,0.022918110250083723,1121161
control,PHC,-0.1107156993645303,1130161
control,PHC,-0.07825469065775015,1202161
control,PHC,-0.388079221662498,1203161
control,PHC,0.10447671362439814,1206161
control,PHC,0.02577166573986489,1206162
control,PHC,-0.01205666863411159,1206163
control,PHC,-0.06202070335163856,1207162
difference,PHC,-0.06468761826750491,0110171
difference,PHC,-0.36788069042787386,0110172
difference,PHC,-0.013995703426054384,0111171
difference,PHC,-0.027055025013309253,0112171
difference,PHC,-0.0777635309049246,0112172
difference,PHC,0.03293943253522624,0112173
difference,PHC,0.08357233022088051,0113171
difference,PHC,-0.0970027795542901,0115174
difference,PHC,0.1564307227773597,0117171
difference,PHC,-0.09080972829471823,0118171
difference,PHC,-0.10256784317526046,0118172
difference,PHC,-0.10580668442988705,0119171
difference,PHC,0.43377312624095843,0119172
difference,PHC,-0.006190391236806536,0119173
difference,PHC,0.05080550147047219,0119174
difference,PHC,0.05325297517227234,0120171
difference,PHC,-0.06915258680177938,0120172
difference,PHC,-0.07769009761989132,0120173
difference,PHC,-0.011006614748382049,0123171
difference,PHC,0.08752788209883666,0123173
difference,PHC,-0.051290851135751825,0124171
difference,PHC,0.10428675511465035,0125171
difference,PHC,0.014836501596631302,0125172
difference,PHC,-0.06563571616888353,1121161
difference,PHC,0.07210511509559137,1130161
difference,PHC,0.04756409669619455,1202161
difference,PHC,0.26710175058706886,1203161
difference,PHC,-0.0717990792090274,1206161
difference,PHC,-0.11895241346148788,1206162
difference,PHC,0.03716421425731975,1206163
difference,PHC,0.021888077439314424,1207162
trained,PRC,0.005917277082305383,0110171
trained,PRC,-0.13086250332591243,0110172
trained,PRC,-0.018467560083610945,0111171
trained,PRC,0.08022265806721218,0112171
trained,PRC,-0.0701358347205423,0112172
trained,PRC,-0.0588051678726611,0112173
trained,PRC,0.0961182219060791,0113171
trained,PRC,-0.057618383188967726,0115174
trained,PRC,0.03424888090686373,0117171
trained,PRC,-0.12965220059864646,0118171
trained,PRC,0.012339918048575704,0118172
trained,PRC,0.01732193601656662,0119171
trained,PRC,-0.06092538631342226,0119172
trained,PRC,-0.02046537449844099,0119173
trained,PRC,0.014914667534135062,0119174
trained,PRC,-0.010747419918194723,0120171
trained,PRC,0.08604513915776968,0120172
trained,PRC,-0.03299375848734187,0120173
trained,PRC,0.015706730623409215,0123171
trained,PRC,-0.0013450199009876762,0123173
trained,PRC,-0.05408311047560521,0124171
trained,PRC,0.012631867438862576,0125171
trained,PRC,0.02339283320802288,0125172
trained,PRC,-0.003957419704169185,1121161
trained,PRC,-0.02102841813890599,1130161
trained,PRC,-0.07254872122503364,1202161
trained,PRC,-0.01355148289390673,1203161
trained,PRC,-0.0005997295192412544,1206161
trained,PRC,0.01794403232472286,1206162
trained,PRC,0.04038758096770101,1206163
trained,PRC,-0.01392827968514887,1207162
control,PRC,-0.03469988347264852,0110171
control,PRC,-0.030602161267982764,0110172
control,PRC,-0.005794390181120379,0111171
control,PRC,-0.0154840009858781,0112171
control,PRC,-0.029092301099973183,0112172
control,PRC,0.00861334154800908,0112173
control,PRC,-0.06399120885834764,0113171
control,PRC,0.04049965424333224,0115174
control,PRC,-0.01596171318855566,0117171
control,PRC,-0.055666207044599236,0118171
control,PRC,-0.023021004062456774,0118172
control,PRC,0.052590383219953574,0119171
control,PRC,-0.24571750059965913,0119172
control,PRC,0.06576470970630843,0119173
control,PRC,0.001372135078485881,0119174
control,PRC,0.04689249090238512,0120171
control,PRC,0.0405753150521615,0120172
control,PRC,0.033767558200258896,0120173
control,PRC,0.03777601186471213,0123171
control,PRC,-0.016160126755547788,0123173
control,PRC,-0.04690940261219634,0124171
control,PRC,-0.04044931505405014,0125171
control,PRC,0.01613455399535546,0125172
control,PRC,-0.1152902527866988,1121161
control,PRC,-0.0724105479604823,1130161
control,PRC,-0.03623249767662551,1202161
control,PRC,-0.17170046347691348,1203161
control,PRC,0.09884057550592051,1206161
control,PRC,-0.02059402711241587,1206162
control,PRC,-0.020130734100801018,1206163
control,PRC,0.0193936192488412,1207162
difference,PRC,0.0406171605549539,0110171
difference,PRC,-0.10026034205792966,0110172
difference,PRC,-0.012673169902490566,0111171
difference,PRC,0.09570665905309028,0112171
difference,PRC,-0.04104353362056912,0112172
difference,PRC,-0.06741850942067018,0112173
difference,PRC,0.16010943076442674,0113171
difference,PRC,-0.09811803743229996,0115174
difference,PRC,0.05021059409541939,0117171
difference,PRC,-0.07398599355404722,0118171
difference,PRC,0.03536092211103248,0118172
difference,PRC,-0.035268447203386954,0119171
difference,PRC,0.18479211428623687,0119172
difference,PRC,-0.08623008420474942,0119173
difference,PRC,0.013542532455649181,0119174
difference,PRC,-0.05763991082057984,0120171
difference,PRC,0.04546982410560818,0120172
difference,PRC,-0.06676131668760077,0120173
difference,PRC,-0.022069281241302918,0123171
difference,PRC,0.014815106854560112,0123173
difference,PRC,-0.0071737078634088736,0124171
difference,PRC,0.053081182492912715,0125171
difference,PRC,0.007258279212667418,0125172
difference,PRC,0.11133283308252961,1121161
difference,PRC,0.051382129821576306,1130161
difference,PRC,-0.03631622354840813,1202161
difference,PRC,0.15814898058300675,1203161
difference,PRC,-0.09944030502516177,1206161
difference,PRC,0.03853805943713873,1206162
difference,PRC,0.06051831506850203,1206163
difference,PRC,-0.03332189893399007,1207162
trained,ENT,-0.033891895822089624,0110171
trained,ENT,-0.09349589786843004,0110172
trained,ENT,-0.01100025225916057,0111171
trained,ENT,0.0864771321708061,0112171
trained,ENT,-0.05162178456714728,0112172
trained,ENT,-0.04370118190469785,0112173
trained,ENT,0.046675026446270196,0113171
trained,ENT,-0.021945030022973655,0115174
trained,ENT,-0.06800110218402056,0117171
trained,ENT,-0.017887796525045685,0118171
trained,ENT,-0.026766171927957494,0118172
trained,ENT,0.0027455853478532966,0119171
trained,ENT,0.03825922177306784,0119172
trained,ENT,0.0019983685336948387,0119173
trained,ENT,0.0223090869443337,0119174
trained,ENT,-0.02084341880168661,0120171
trained,ENT,0.1358846622572666,0120172
trained,ENT,-0.022111113475833943,0120173
trained,ENT,-0.14577550893597668,0123171
trained,ENT,-0.06428448275032639,0123173
trained,ENT,-0.05965332406546131,0124171
trained,ENT,0.0013418790092020183,0125171
trained,ENT,0.050130368753510846,0125172
trained,ENT,0.024362687311028086,1121161
trained,ENT,0.010802030398293971,1130161
trained,ENT,-0.0027482391219895153,1202161
trained,ENT,0.04839052860553483,1203161
trained,ENT,-0.021565239300028294,1206161
trained,ENT,0.06804923700208787,1206162
trained,ENT,0.10915364552780404,1206163
trained,ENT,0.06052088600166183,1207162
control,ENT,2.6600765920314906e-05,0110171
control,ENT,-0.01759998123494877,0110172
control,ENT,-0.050808716377852114,0111171
control,ENT,0.05412902386999119,0112171
control,ENT,0.007124190522661111,0112172
control,ENT,-0.02628304031171258,0112173
control,ENT,-0.03324448334156571,0113171
control,ENT,0.021894096776415628,0115174
control,ENT,-0.003247194788562058,0117171
control,ENT,-0.07017735519722745,0118171
control,ENT,-0.004226947374289525,0118172
control,ENT,0.022581231627827325,0119171
control,ENT,-0.06701386786235297,0119172
control,ENT,0.09671252386118057,0119173
control,ENT,-0.023667598215005747,0119174
control,ENT,0.11605010131362847,0120171
control,ENT,0.13669867415496761,0120172
control,ENT,0.0648655020624439,0120173
control,ENT,0.03772578853075981,0123171
