,subject,roi,num_voxels,run,time_point,pearson
0,1121161_neurosketch,ento_FS,540.0,1.0,1.0,0.16524
1,1121161_neurosketch,ento_FS,540.0,1.0,2.0,0.08671
2,1121161_neurosketch,ento_FS,540.0,1.0,3.0,0.18116
3,1121161_neurosketch,ento_FS,540.0,1.0,4.0,0.18449
4,1121161_neurosketch,ento_FS,540.0,1.0,5.0,0.2884
5,1121161_neurosketch,ento_FS,540.0,1.0,6.0,0.2863
6,1121161_neurosketch,ento_FS,540.0,1.0,7.0,0.28249
7,1121161_neurosketch,ento_FS,540.0,1.0,8.0,0.32056
8,1121161_neurosketch,ento_FS,540.0,1.0,9.0,0.32324
9,1121161_neurosketch,ento_FS,540.0,1.0,10.0,0.28913
10,1121161_neurosketch,ento_FS,540.0,1.0,11.0,0.25791
11,1121161_neurosketch,ento_FS,540.0,1.0,12.0,0.37692
12,1121161_neurosketch,ento_FS,540.0,1.0,13.0,0.29591
13,1121161_neurosketch,ento_FS,540.0,1.0,14.0,0.3265
14,1121161_neurosketch,ento_FS,540.0,1.0,15.0,0.30776
15,1121161_neurosketch,ento_FS,540.0,1.0,16.0,0.22213
16,1121161_neurosketch,ento_FS,540.0,1.0,17.0,0.12737
17,1121161_neurosketch,ento_FS,540.0,1.0,18.0,0.00154
18,1121161_neurosketch,ento_FS,540.0,1.0,19.0,0.09954
19,1121161_neurosketch,ento_FS,540.0,1.0,20.0,0.0844
20,1121161_neurosketch,ento_FS,540.0,1.0,21.0,0.07717
21,1121161_neurosketch,ento_FS,540.0,1.0,22.0,0.12865
22,1121161_neurosketch,ento_FS,540.0,1.0,23.0,0.04359
23,1121161_neurosketch,ento_FS,540.0,2.0,1.0,0.07741
24,1121161_neurosketch,ento_FS,540.0,2.0,2.0,0.05662
25,1121161_neurosketch,ento_FS,540.0,2.0,3.0,0.20262
26,1121161_neurosketch,ento_FS,540.0,2.0,4.0,0.14455
27,1121161_neurosketch,ento_FS,540.0,2.0,5.0,0.17798
28,1121161_neurosketch,ento_FS,540.0,2.0,6.0,0.10712
29,1121161_neurosketch,ento_FS,540.0,2.0,7.0,0.16737
30,1121161_neurosketch,ento_FS,540.0,2.0,8.0,0.22495
31,1121161_neurosketch,ento_FS,540.0,2.0,9.0,0.07211
32,1121161_neurosketch,ento_FS,540.0,2.0,10.0,0.27586
